Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,37.53,r,r,r,g,g,g,r,r,r,g,g,g
37.53,4,r,r,r,y,y,y,r,r,r,y,y,y
41.53,3,r,r,r,r,r,r,r,r,r,r,r,r
44.53,26,g,g,g,r,r,r,g,g,g,r,r,r
70.53,4,y,y,y,r,r,r,y,y,y,r,r,r
74.53,3,r,r,r,r,r,r,r,r,r,r,r,r
77.53,40,r,r,r,g,g,g,r,r,r,g,g,g
117.53,4,r,r,r,y,y,y,r,r,r,y,y,y
121.53,3,r,r,r,r,r,r,r,r,r,r,r,r
124.53,26,g,g,g,r,r,r,g,g,g,r,r,r
150.53,4,y,y,y,r,r,r,y,y,y,r,r,r
154.53,3,r,r,r,r,r,r,r,r,r,r,r,r
157.53,40,r,r,r,g,g,g,r,r,r,g,g,g
197.53,4,r,r,r,y,y,y,r,r,r,y,y,y
201.53,3,r,r,r,r,r,r,r,r,r,r,r,r
204.53,26,g,g,g,r,r,r,g,g,g,r,r,r
230.53,4,y,y,y,r,r,r,y,y,y,r,r,r
234.53,3,r,r,r,r,r,r,r,r,r,r,r,r
237.53,40,r,r,r,g,g,g,r,r,r,g,g,g
277.53,4,r,r,r,y,y,y,r,r,r,y,y,y
281.53,3,r,r,r,r,r,r,r,r,r,r,r,r
284.53,26,g,g,g,r,r,r,g,g,g,r,r,r
310.53,4,y,y,y,r,r,r,y,y,y,r,r,r
314.53,3,r,r,r,r,r,r,r,r,r,r,r,r
317.53,40,r,r,r,g,g,g,r,r,r,g,g,g
357.53,4,r,r,r,y,y,y,r,r,r,y,y,y
361.53,3,r,r,r,r,r,r,r,r,r,r,r,r
364.53,26,g,g,g,r,r,r,g,g,g,r,r,r
390.53,4,y,y,y,r,r,r,y,y,y,r,r,r
394.53,3,r,r,r,r,r,r,r,r,r,r,r,r
397.53,40,r,r,r,g,g,g,r,r,r,g,g,g
437.53,4,r,r,r,y,y,y,r,r,r,y,y,y
441.53,3,r,r,r,r,r,r,r,r,r,r,r,r
444.53,26,g,g,g,r,r,r,g,g,g,r,r,r
470.53,4,y,y,y,r,r,r,y,y,y,r,r,r
474.53,3,r,r,r,r,r,r,r,r,r,r,r,r
477.53,40,r,r,r,g,g,g,r,r,r,g,g,g
517.53,4,r,r,r,y,y,y,r,r,r,y,y,y
521.53,3,r,r,r,r,r,r,r,r,r,r,r,r
524.53,26,g,g,g,r,r,r,g,g,g,r,r,r
550.53,4,y,y,y,r,r,r,y,y,y,r,r,r
554.53,3,r,r,r,r,r,r,r,r,r,r,r,r
557.53,40,r,r,r,g,g,g,r,r,r,g,g,g
597.53,4,r,r,r,y,y,y,r,r,r,y,y,y
601.53,3,r,r,r,r,r,r,r,r,r,r,r,r
604.53,26,g,g,g,r,r,r,g,g,g,r,r,r
630.53,4,y,y,y,r,r,r,y,y,y,r,r,r
634.53,3,r,r,r,r,r,r,r,r,r,r,r,r
637.53,40,r,r,r,g,g,g,r,r,r,g,g,g
677.53,4,r,r,r,y,y,y,r,r,r,y,y,y
681.53,3,r,r,r,r,r,r,r,r,r,r,r,r
684.53,26,g,g,g,r,r,r,g,g,g,r,r,r
710.53,4,y,y,y,r,r,r,y,y,y,r,r,r
714.53,3,r,r,r,r,r,r,r,r,r,r,r,r
717.53,40,r,r,r,g,g,g,r,r,r,g,g,g
757.53,4,r,r,r,y,y,y,r,r,r,y,y,y
761.53,3,r,r,r,r,r,r,r,r,r,r,r,r
764.53,26,g,g,g,r,r,r,g,g,g,r,r,r
790.53,4,y,y,y,r,r,r,y,y,y,r,r,r
794.53,3,r,r,r,r,r,r,r,r,r,r,r,r
797.53,40,r,r,r,g,g,g,r,r,r,g,g,g
837.53,4,r,r,r,y,y,y,r,r,r,y,y,y
841.53,3,r,r,r,r,r,r,r,r,r,r,r,r
844.53,26,g,g,g,r,r,r,g,g,g,r,r,r
870.53,4,y,y,y,r,r,r,y,y,y,r,r,r
874.53,3,r,r,r,r,r,r,r,r,r,r,r,r
877.53,40,r,r,r,g,g,g,r,r,r,g,g,g
917.53,4,r,r,r,y,y,y,r,r,r,y,y,y
921.53,3,r,r,r,r,r,r,r,r,r,r,r,r
924.53,26,g,g,g,r,r,r,g,g,g,r,r,r
950.53,0.47,y,y,y,r,r,r,y,y,y,r,r,r
