Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,7.71,g,g,g,r,r,r,g,g,g,r,r,r
7.71,4,y,y,y,r,r,r,y,y,y,r,r,r
11.71,3,r,r,r,r,r,r,r,r,r,r,r,r
14.71,40,r,r,r,g,g,g,r,r,r,g,g,g
54.71,4,r,r,r,y,y,y,r,r,r,y,y,y
58.71,3,r,r,r,r,r,r,r,r,r,r,r,r
61.71,26,g,g,g,r,r,r,g,g,g,r,r,r
87.71,4,y,y,y,r,r,r,y,y,y,r,r,r
91.71,3,r,r,r,r,r,r,r,r,r,r,r,r
94.71,40,r,r,r,g,g,g,r,r,r,g,g,g
134.71,4,r,r,r,y,y,y,r,r,r,y,y,y
138.71,3,r,r,r,r,r,r,r,r,r,r,r,r
141.71,26,g,g,g,r,r,r,g,g,g,r,r,r
167.71,4,y,y,y,r,r,r,y,y,y,r,r,r
171.71,3,r,r,r,r,r,r,r,r,r,r,r,r
174.71,40,r,r,r,g,g,g,r,r,r,g,g,g
214.71,4,r,r,r,y,y,y,r,r,r,y,y,y
218.71,3,r,r,r,r,r,r,r,r,r,r,r,r
221.71,26,g,g,g,r,r,r,g,g,g,r,r,r
247.71,4,y,y,y,r,r,r,y,y,y,r,r,r
251.71,3,r,r,r,r,r,r,r,r,r,r,r,r
254.71,40,r,r,r,g,g,g,r,r,r,g,g,g
294.71,4,r,r,r,y,y,y,r,r,r,y,y,y
298.71,3,r,r,r,r,r,r,r,r,r,r,r,r
301.71,26,g,g,g,r,r,r,g,g,g,r,r,r
327.71,4,y,y,y,r,r,r,y,y,y,r,r,r
331.71,3,r,r,r,r,r,r,r,r,r,r,r,r
334.71,40,r,r,r,g,g,g,r,r,r,g,g,g
374.71,4,r,r,r,y,y,y,r,r,r,y,y,y
378.71,3,r,r,r,r,r,r,r,r,r,r,r,r
381.71,26,g,g,g,r,r,r,g,g,g,r,r,r
407.71,4,y,y,y,r,r,r,y,y,y,r,r,r
411.71,3,r,r,r,r,r,r,r,r,r,r,r,r
414.71,40,r,r,r,g,g,g,r,r,r,g,g,g
454.71,4,r,r,r,y,y,y,r,r,r,y,y,y
458.71,3,r,r,r,r,r,r,r,r,r,r,r,r
461.71,26,g,g,g,r,r,r,g,g,g,r,r,r
487.71,4,y,y,y,r,r,r,y,y,y,r,r,r
491.71,3,r,r,r,r,r,r,r,r,r,r,r,r
494.71,40,r,r,r,g,g,g,r,r,r,g,g,g
534.71,4,r,r,r,y,y,y,r,r,r,y,y,y
538.71,3,r,r,r,r,r,r,r,r,r,r,r,r
541.71,26,g,g,g,r,r,r,g,g,g,r,r,r
567.71,4,y,y,y,r,r,r,y,y,y,r,r,r
571.71,3,r,r,r,r,r,r,r,r,r,r,r,r
574.71,40,r,r,r,g,g,g,r,r,r,g,g,g
614.71,4,r,r,r,y,y,y,r,r,r,y,y,y
618.71,3,r,r,r,r,r,r,r,r,r,r,r,r
621.71,26,g,g,g,r,r,r,g,g,g,r,r,r
647.71,4,y,y,y,r,r,r,y,y,y,r,r,r
651.71,3,r,r,r,r,r,r,r,r,r,r,r,r
654.71,40,r,r,r,g,g,g,r,r,r,g,g,g
694.71,4,r,r,r,y,y,y,r,r,r,y,y,y
698.71,3,r,r,r,r,r,r,r,r,r,r,r,r
701.71,26,g,g,g,r,r,r,g,g,g,r,r,r
727.71,4,y,y,y,r,r,r,y,y,y,r,r,r
731.71,3,r,r,r,r,r,r,r,r,r,r,r,r
734.71,40,r,r,r,g,g,g,r,r,r,g,g,g
774.71,4,r,r,r,y,y,y,r,r,r,y,y,y
778.71,3,r,r,r,r,r,r,r,r,r,r,r,r
781.71,26,g,g,g,r,r,r,g,g,g,r,r,r
807.71,4,y,y,y,r,r,r,y,y,y,r,r,r
811.71,3,r,r,r,r,r,r,r,r,r,r,r,r
814.71,40,r,r,r,g,g,g,r,r,r,g,g,g
854.71,4,r,r,r,y,y,y,r,r,r,y,y,y
858.71,3,r,r,r,r,r,r,r,r,r,r,r,r
861.71,26,g,g,g,r,r,r,g,g,g,r,r,r
887.71,4,y,y,y,r,r,r,y,y,y,r,r,r
891.71,3,r,r,r,r,r,r,r,r,r,r,r,r
894.71,40,r,r,r,g,g,g,r,r,r,g,g,g
934.71,4,r,r,r,y,y,y,r,r,r,y,y,y
938.71,3,r,r,r,r,r,r,r,r,r,r,r,r
941.71,26,g,g,g,r,r,r,g,g,g,r,r,r
967.71,4,y,y,y,r,r,r,y,y,y,r,r,r
971.71,3,r,r,r,r,r,r,r,r,r,r,r,r
974.71,40,r,r,r,g,g,g,r,r,r,g,g,g
1014.71,4,r,r,r,y,y,y,r,r,r,y,y,y
1018.71,3,r,r,r,r,r,r,r,r,r,r,r,r
1021.71,26,g,g,g,r,r,r,g,g,g,r,r,r
1047.71,4,y,y,y,r,r,r,y,y,y,r,r,r
1051.71,3,r,r,r,r,r,r,r,r,r,r,r,r
1054.71,40,r,r,r,g,g,g,r,r,r,g,g,g
1094.71,4,r,r,r,y,y,y,r,r,r,y,y,y
1098.71,3,r,r,r,r,r,r,r,r,r,r,r,r
1101.71,26,g,g,g,r,r,r,g,g,g,r,r,r
1127.71,4,y,y,y,r,r,r,y,y,y,r,r,r
1131.71,3,r,r,r,r,r,r,r,r,r,r,r,r
1134.71,40,r,r,r,g,g,g,r,r,r,g,g,g
1174.71,4,r,r,r,y,y,y,r,r,r,y,y,y
1178.71,3,r,r,r,r,r,r,r,r,r,r,r,r
1181.71,26,g,g,g,r,r,r,g,g,g,r,r,r
1207.71,4,y,y,y,r,r,r,y,y,y,r,r,r
1211.71,3,r,r,r,r,r,r,r,r,r,r,r,r
1214.71,37.29,r,r,r,g,g,g,r,r,r,g,g,g
