Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,13.42,r,r,r,g,g,g,r,r,r,g,g,g
13.42,4,r,r,r,y,y,y,r,r,r,y,y,y
17.42,3,r,r,r,r,r,r,r,r,r,r,r,r
20.42,26,g,g,g,r,r,r,g,g,g,r,r,r
46.42,4,y,y,y,r,r,r,y,y,y,r,r,r
50.42,3,r,r,r,r,r,r,r,r,r,r,r,r
53.42,40,r,r,r,g,g,g,r,r,r,g,g,g
93.42,4,r,r,r,y,y,y,r,r,r,y,y,y
97.42,3,r,r,r,r,r,r,r,r,r,r,r,r
100.42,26,g,g,g,r,r,r,g,g,g,r,r,r
126.42,4,y,y,y,r,r,r,y,y,y,r,r,r
130.42,3,r,r,r,r,r,r,r,r,r,r,r,r
133.42,40,r,r,r,g,g,g,r,r,r,g,g,g
173.42,4,r,r,r,y,y,y,r,r,r,y,y,y
177.42,3,r,r,r,r,r,r,r,r,r,r,r,r
180.42,26,g,g,g,r,r,r,g,g,g,r,r,r
206.42,4,y,y,y,r,r,r,y,y,y,r,r,r
210.42,3,r,r,r,r,r,r,r,r,r,r,r,r
213.42,40,r,r,r,g,g,g,r,r,r,g,g,g
253.42,4,r,r,r,y,y,y,r,r,r,y,y,y
257.42,3,r,r,r,r,r,r,r,r,r,r,r,r
260.42,26,g,g,g,r,r,r,g,g,g,r,r,r
286.42,4,y,y,y,r,r,r,y,y,y,r,r,r
290.42,3,r,r,r,r,r,r,r,r,r,r,r,r
293.42,40,r,r,r,g,g,g,r,r,r,g,g,g
333.42,4,r,r,r,y,y,y,r,r,r,y,y,y
337.42,3,r,r,r,r,r,r,r,r,r,r,r,r
340.42,26,g,g,g,r,r,r,g,g,g,r,r,r
366.42,4,y,y,y,r,r,r,y,y,y,r,r,r
370.42,3,r,r,r,r,r,r,r,r,r,r,r,r
373.42,40,r,r,r,g,g,g,r,r,r,g,g,g
413.42,4,r,r,r,y,y,y,r,r,r,y,y,y
417.42,3,r,r,r,r,r,r,r,r,r,r,r,r
420.42,26,g,g,g,r,r,r,g,g,g,r,r,r
446.42,4,y,y,y,r,r,r,y,y,y,r,r,r
450.42,3,r,r,r,r,r,r,r,r,r,r,r,r
453.42,40,r,r,r,g,g,g,r,r,r,g,g,g
493.42,4,r,r,r,y,y,y,r,r,r,y,y,y
497.42,3,r,r,r,r,r,r,r,r,r,r,r,r
500.42,26,g,g,g,r,r,r,g,g,g,r,r,r
526.42,4,y,y,y,r,r,r,y,y,y,r,r,r
530.42,3,r,r,r,r,r,r,r,r,r,r,r,r
533.42,40,r,r,r,g,g,g,r,r,r,g,g,g
573.42,4,r,r,r,y,y,y,r,r,r,y,y,y
577.42,3,r,r,r,r,r,r,r,r,r,r,r,r
580.42,26,g,g,g,r,r,r,g,g,g,r,r,r
606.42,4,y,y,y,r,r,r,y,y,y,r,r,r
610.42,3,r,r,r,r,r,r,r,r,r,r,r,r
613.42,40,r,r,r,g,g,g,r,r,r,g,g,g
653.42,4,r,r,r,y,y,y,r,r,r,y,y,y
657.42,3,r,r,r,r,r,r,r,r,r,r,r,r
660.42,26,g,g,g,r,r,r,g,g,g,r,r,r
686.42,4,y,y,y,r,r,r,y,y,y,r,r,r
690.42,3,r,r,r,r,r,r,r,r,r,r,r,r
693.42,40,r,r,r,g,g,g,r,r,r,g,g,g
733.42,4,r,r,r,y,y,y,r,r,r,y,y,y
737.42,3,r,r,r,r,r,r,r,r,r,r,r,r
740.42,26,g,g,g,r,r,r,g,g,g,r,r,r
766.42,4,y,y,y,r,r,r,y,y,y,r,r,r
770.42,3,r,r,r,r,r,r,r,r,r,r,r,r
773.42,40,r,r,r,g,g,g,r,r,r,g,g,g
813.42,4,r,r,r,y,y,y,r,r,r,y,y,y
817.42,3,r,r,r,r,r,r,r,r,r,r,r,r
820.42,26,g,g,g,r,r,r,g,g,g,r,r,r
846.42,4,y,y,y,r,r,r,y,y,y,r,r,r
850.42,3,r,r,r,r,r,r,r,r,r,r,r,r
853.42,40,r,r,r,g,g,g,r,r,r,g,g,g
893.42,4,r,r,r,y,y,y,r,r,r,y,y,y
897.42,3,r,r,r,r,r,r,r,r,r,r,r,r
900.42,26,g,g,g,r,r,r,g,g,g,r,r,r
926.42,4,y,y,y,r,r,r,y,y,y,r,r,r
930.42,3,r,r,r,r,r,r,r,r,r,r,r,r
933.42,40,r,r,r,g,g,g,r,r,r,g,g,g
973.42,4,r,r,r,y,y,y,r,r,r,y,y,y
