Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
977.42,3,r,r,r,r,r,r,r,r,r,r,r,r
980.42,26,g,g,g,r,r,r,g,g,g,r,r,r
1006.42,4,y,y,y,r,r,r,y,y,y,r,r,r
1010.42,3,r,r,r,r,r,r,r,r,r,r,r,r
1013.42,40,r,r,r,g,g,g,r,r,r,g,g,g
1053.42,4,r,r,r,y,y,y,r,r,r,y,y,y
1057.42,3,r,r,r,r,r,r,r,r,r,r,r,r
1060.42,26,g,g,g,r,r,r,g,g,g,r,r,r
1086.42,4,y,y,y,r,r,r,y,y,y,r,r,r
1090.42,3,r,r,r,r,r,r,r,r,r,r,r,r
1093.42,40,r,r,r,g,g,g,r,r,r,g,g,g
1133.42,4,r,r,r,y,y,y,r,r,r,y,y,y
1137.42,3,r,r,r,r,r,r,r,r,r,r,r,r
1140.42,26,g,g,g,r,r,r,g,g,g,r,r,r
1166.42,4,y,y,y,r,r,r,y,y,y,r,r,r
1170.42,3,r,r,r,r,r,r,r,r,r,r,r,r
1173.42,40,r,r,r,g,g,g,r,r,r,g,g,g
1213.42,4,r,r,r,y,y,y,r,r,r,y,y,y
1217.42,3,r,r,r,r,r,r,r,r,r,r,r,r
1220.42,26,g,g,g,r,r,r,g,g,g,r,r,r
1246.42,1.58,y,y,y,r,r,r,y,y,y,r,r,r
