Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,16.26,r,r,r,g,g,g,r,r,r,g,g,g
16.26,4,r,r,r,y,y,y,r,r,r,y,y,y
20.26,3,r,r,r,r,r,r,r,r,r,r,r,r
23.26,26,g,g,g,r,r,r,g,g,g,r,r,r
49.26,4,y,y,y,r,r,r,y,y,y,r,r,r
53.26,3,r,r,r,r,r,r,r,r,r,r,r,r
56.26,40,r,r,r,g,g,g,r,r,r,g,g,g
96.26,4,r,r,r,y,y,y,r,r,r,y,y,y
100.26,3,r,r,r,r,r,r,r,r,r,r,r,r
103.26,26,g,g,g,r,r,r,g,g,g,r,r,r
129.26,4,y,y,y,r,r,r,y,y,y,r,r,r
133.26,3,r,r,r,r,r,r,r,r,r,r,r,r
136.26,40,r,r,r,g,g,g,r,r,r,g,g,g
176.26,4,r,r,r,y,y,y,r,r,r,y,y,y
180.26,3,r,r,r,r,r,r,r,r,r,r,r,r
183.26,26,g,g,g,r,r,r,g,g,g,r,r,r
209.26,4,y,y,y,r,r,r,y,y,y,r,r,r
213.26,3,r,r,r,r,r,r,r,r,r,r,r,r
216.26,40,r,r,r,g,g,g,r,r,r,g,g,g
256.26,4,r,r,r,y,y,y,r,r,r,y,y,y
260.26,3,r,r,r,r,r,r,r,r,r,r,r,r
263.26,26,g,g,g,r,r,r,g,g,g,r,r,r
289.26,4,y,y,y,r,r,r,y,y,y,r,r,r
293.26,3,r,r,r,r,r,r,r,r,r,r,r,r
296.26,40,r,r,r,g,g,g,r,r,r,g,g,g
336.26,4,r,r,r,y,y,y,r,r,r,y,y,y
340.26,3,r,r,r,r,r,r,r,r,r,r,r,r
343.26,26,g,g,g,r,r,r,g,g,g,r,r,r
369.26,4,y,y,y,r,r,r,y,y,y,r,r,r
373.26,3,r,r,r,r,r,r,r,r,r,r,r,r
376.26,40,r,r,r,g,g,g,r,r,r,g,g,g
416.26,4,r,r,r,y,y,y,r,r,r,y,y,y
420.26,3,r,r,r,r,r,r,r,r,r,r,r,r
423.26,26,g,g,g,r,r,r,g,g,g,r,r,r
449.26,4,y,y,y,r,r,r,y,y,y,r,r,r
453.26,3,r,r,r,r,r,r,r,r,r,r,r,r
456.26,40,r,r,r,g,g,g,r,r,r,g,g,g
496.26,4,r,r,r,y,y,y,r,r,r,y,y,y
500.26,3,r,r,r,r,r,r,r,r,r,r,r,r
503.26,26,g,g,g,r,r,r,g,g,g,r,r,r
529.26,4,y,y,y,r,r,r,y,y,y,r,r,r
533.26,3,r,r,r,r,r,r,r,r,r,r,r,r
536.26,40,r,r,r,g,g,g,r,r,r,g,g,g
576.26,4,r,r,r,y,y,y,r,r,r,y,y,y
580.26,3,r,r,r,r,r,r,r,r,r,r,r,r
583.26,26,g,g,g,r,r,r,g,g,g,r,r,r
609.26,4,y,y,y,r,r,r,y,y,y,r,r,r
613.26,3,r,r,r,r,r,r,r,r,r,r,r,r
616.26,40,r,r,r,g,g,g,r,r,r,g,g,g
656.26,4,r,r,r,y,y,y,r,r,r,y,y,y
660.26,3,r,r,r,r,r,r,r,r,r,r,r,r
663.26,26,g,g,g,r,r,r,g,g,g,r,r,r
689.26,4,y,y,y,r,r,r,y,y,y,r,r,r
693.26,3,r,r,r,r,r,r,r,r,r,r,r,r
696.26,40,r,r,r,g,g,g,r,r,r,g,g,g
736.26,4,r,r,r,y,y,y,r,r,r,y,y,y
740.26,3,r,r,r,r,r,r,r,r,r,r,r,r
743.26,26,g,g,g,r,r,r,g,g,g,r,r,r
769.26,4,y,y,y,r,r,r,y,y,y,r,r,r
773.26,3,r,r,r,r,r,r,r,r,r,r,r,r
776.26,40,r,r,r,g,g,g,r,r,r,g,g,g
816.26,4,r,r,r,y,y,y,r,r,r,y,y,y
820.26,3,r,r,r,r,r,r,r,r,r,r,r,r
823.26,26,g,g,g,r,r,r,g,g,g,r,r,r
849.26,4,y,y,y,r,r,r,y,y,y,r,r,r
853.26,3,r,r,r,r,r,r,r,r,r,r,r,r
856.26,40,r,r,r,g,g,g,r,r,r,g,g,g
896.26,4,r,r,r,y,y,y,r,r,r,y,y,y
900.26,3,r,r,r,r,r,r,r,r,r,r,r,r
903.26,26,g,g,g,r,r,r,g,g,g,r,r,r
929.26,4,y,y,y,r,r,r,y,y,y,r,r,r
933.26,3,r,r,r,r,r,r,r,r,r,r,r,r
936.26,40,r,r,r,g,g,g,r,r,r,g,g,g
976.26,4,r,r,r,y,y,y,r,r,r,y,y,y
980.26,3,r,r,r,r,r,r,r,r,r,r,r,r
983.26,26,g,g,g,r,r,r,g,g,g,r,r,r
1009.26,4,y,y,y,r,r,r,y,y,y,r,r,r
1013.26,3,r,r,r,r,r,r,r,r,r,r,r,r
1016.26,40,r,r,r,g,g,g,r,r,r,g,g,g
1056.26,4,r,r,r,y,y,y,r,r,r,y,y,y
1060.26,3,r,r,r,r,r,r,r,r,r,r,r,r
1063.26,26,g,g,g,r,r,r,g,g,g,r,r,r
1089.26,4,y,y,y,r,r,r,y,y,y,r,r,r
1093.26,3,r,r,r,r,r,r,r,r,r,r,r,r
1096.26,40,r,r,r,g,g,g,r,r,r,g,g,g
1136.26,4,r,r,r,y,y,y,r,r,r,y,y,y
1140.26,3,r,r,r,r,r,r,r,r,r,r,r,r
1143.26,26,g,g,g,r,r,r,g,g,g,r,r,r
1169.26,4,y,y,y,r,r,r,y,y,y,r,r,r
1173.26,3,r,r,r,r,r,r,r,r,r,r,r,r
1176.26,22.74,r,r,r,g,g,g,r,r,r,g,g,g
