Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,11.92,r,g,g,r,r,r,r,g,g,r,r,r
11.92,4,r,y,g,r,r,r,r,y,y,r,r,r
15.92,3,r,r,g,r,r,r,r,r,r,r,r,r
18.92,15,g,r,g,r,r,r,g,r,r,r,r,r
33.92,4,y,r,y,r,r,r,y,r,r,r,r,r
37.92,3,r,r,r,r,r,r,r,r,r,r,r,r
40.92,31,r,r,r,g,g,g,r,r,r,r,r,r
71.92,4,r,r,r,y,y,g,r,r,r,r,r,r
75.92,3,r,r,r,r,r,g,r,r,r,r,r,r
78.92,31,r,r,g,r,r,g,r,r,r,g,g,g
109.92,4,r,r,g,r,r,y,r,r,r,y,y,y
113.92,3,r,r,g,r,r,r,r,r,r,r,r,r
116.92,75,r,g,g,r,r,r,r,g,g,r,r,r
191.92,4,r,y,g,r,r,r,r,y,y,r,r,r
195.92,3,r,r,g,r,r,r,r,r,r,r,r,r
198.92,15,g,r,g,r,r,r,g,r,r,r,r,r
213.92,4,y,r,y,r,r,r,y,r,r,r,r,r
217.92,3,r,r,r,r,r,r,r,r,r,r,r,r
220.92,31,r,r,r,g,g,g,r,r,r,r,r,r
251.92,4,r,r,r,y,y,g,r,r,r,r,r,r
255.92,3,r,r,r,r,r,g,r,r,r,r,r,r
258.92,31,r,r,g,r,r,g,r,r,r,g,g,g
289.92,4,r,r,g,r,r,y,r,r,r,y,y,y
293.92,3,r,r,g,r,r,r,r,r,r,r,r,r
296.92,75,r,g,g,r,r,r,r,g,g,r,r,r
371.92,4,r,y,g,r,r,r,r,y,y,r,r,r
375.92,3,r,r,g,r,r,r,r,r,r,r,r,r
378.92,15,g,r,g,r,r,r,g,r,r,r,r,r
393.92,4,y,r,y,r,r,r,y,r,r,r,r,r
397.92,3,r,r,r,r,r,r,r,r,r,r,r,r
400.92,31,r,r,r,g,g,g,r,r,r,r,r,r
431.92,4,r,r,r,y,y,g,r,r,r,r,r,r
