Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
435.92,3,r,r,r,r,r,g,r,r,r,r,r,r
438.92,31,r,r,g,r,r,g,r,r,r,g,g,g
469.92,4,r,r,g,r,r,y,r,r,r,y,y,y
473.92,3,r,r,g,r,r,r,r,r,r,r,r,r
476.92,75,r,g,g,r,r,r,r,g,g,r,r,r
551.92,4,r,y,g,r,r,r,r,y,y,r,r,r
555.92,3,r,r,g,r,r,r,r,r,r,r,r,r
558.92,15,g,r,g,r,r,r,g,r,r,r,r,r
573.92,4,y,r,y,r,r,r,y,r,r,r,r,r
577.92,3,r,r,r,r,r,r,r,r,r,r,r,r
580.92,31,r,r,r,g,g,g,r,r,r,r,r,r
611.92,4,r,r,r,y,y,g,r,r,r,r,r,r
615.92,3,r,r,r,r,r,g,r,r,r,r,r,r
618.92,31,r,r,g,r,r,g,r,r,r,g,g,g
649.92,4,r,r,g,r,r,y,r,r,r,y,y,y
653.92,3,r,r,g,r,r,r,r,r,r,r,r,r
656.92,75,r,g,g,r,r,r,r,g,g,r,r,r
731.92,4,r,y,g,r,r,r,r,y,y,r,r,r
735.92,3,r,r,g,r,r,r,r,r,r,r,r,r
738.92,15,g,r,g,r,r,r,g,r,r,r,r,r
753.92,4,y,r,y,r,r,r,y,r,r,r,r,r
757.92,3,r,r,r,r,r,r,r,r,r,r,r,r
760.92,31,r,r,r,g,g,g,r,r,r,r,r,r
791.92,4,r,r,r,y,y,g,r,r,r,r,r,r
795.92,3,r,r,r,r,r,g,r,r,r,r,r,r
798.92,31,r,r,g,r,r,g,r,r,r,g,g,g
829.92,4,r,r,g,r,r,y,r,r,r,y,y,y
833.92,3,r,r,g,r,r,r,r,r,r,r,r,r
836.92,75,r,g,g,r,r,r,r,g,g,r,r,r
911.92,4,r,y,g,r,r,r,r,y,y,r,r,r
915.92,3,r,r,g,r,r,r,r,r,r,r,r,r
918.92,15,g,r,g,r,r,r,g,r,r,r,r,r
933.92,4,y,r,y,r,r,r,y,r,r,r,r,r
937.92,3,r,r,r,r,r,r,r,r,r,r,r,r
940.92,31,r,r,r,g,g,g,r,r,r,r,r,r
971.92,4,r,r,r,y,y,g,r,r,r,r,r,r
975.92,3,r,r,r,r,r,g,r,r,r,r,r,r
978.92,31,r,r,g,r,r,g,r,r,r,g,g,g
1009.92,4,r,r,g,r,r,y,r,r,r,y,y,y
1013.92,3,r,r,g,r,r,r,r,r,r,r,r,r
1016.92,75,r,g,g,r,r,r,r,g,g,r,r,r
1091.92,4,r,y,g,r,r,r,r,y,y,r,r,r
1095.92,3,r,r,g,r,r,r,r,r,r,r,r,r
1098.92,15,g,r,g,r,r,r,g,r,r,r,r,r
1113.92,4,y,r,y,r,r,r,y,r,r,r,r,r
1117.92,3,r,r,r,r,r,r,r,r,r,r,r,r
1120.92,31,r,r,r,g,g,g,r,r,r,r,r,r
1151.92,4,r,r,r,y,y,g,r,r,r,r,r,r
1155.92,3,r,r,r,r,r,g,r,r,r,r,r,r
1158.92,31,r,r,g,r,r,g,r,r,r,g,g,g
1189.92,4,r,r,g,r,r,y,r,r,r,y,y,y
1193.92,3,r,r,g,r,r,r,r,r,r,r,r,r
1196.92,75,r,g,g,r,r,r,r,g,g,r,r,r
1271.92,4,r,y,g,r,r,r,r,y,y,r,r,r
1275.92,3,r,r,g,r,r,r,r,r,r,r,r,r
1278.92,15,g,r,g,r,r,r,g,r,r,r,r,r
1293.92,4,y,r,y,r,r,r,y,r,r,r,r,r
1297.92,3,r,r,r,r,r,r,r,r,r,r,r,r
1300.92,31,r,r,r,g,g,g,r,r,r,r,r,r
1331.92,4,r,r,r,y,y,g,r,r,r,r,r,r
1335.92,3,r,r,r,r,r,g,r,r,r,r,r,r
1338.92,31,r,r,g,r,r,g,r,r,r,g,g,g
1369.92,4,r,r,g,r,r,y,r,r,r,y,y,y
1373.92,3,r,r,g,r,r,r,r,r,r,r,r,r
1376.92,6.08,r,g,g,r,r,r,r,g,g,r,r,r
