Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,4.16,r,r,r,g,g,g,r,r,r,r,r,r
4.16,4,r,r,r,y,y,g,r,r,r,r,r,r
8.16,3,r,r,r,r,r,g,r,r,r,r,r,r
11.16,31,r,r,g,r,r,g,r,r,r,g,g,g
42.16,4,r,r,g,r,r,y,r,r,r,y,y,y
46.16,3,r,r,g,r,r,r,r,r,r,r,r,r
49.16,75,r,g,g,r,r,r,r,g,g,r,r,r
124.16,4,r,y,g,r,r,r,r,y,y,r,r,r
128.16,3,r,r,g,r,r,r,r,r,r,r,r,r
131.16,15,g,r,g,r,r,r,g,r,r,r,r,r
146.16,4,y,r,y,r,r,r,y,r,r,r,r,r
150.16,3,r,r,r,r,r,r,r,r,r,r,r,r
153.16,31,r,r,r,g,g,g,r,r,r,r,r,r
184.16,4,r,r,r,y,y,g,r,r,r,r,r,r
188.16,3,r,r,r,r,r,g,r,r,r,r,r,r
191.16,31,r,r,g,r,r,g,r,r,r,g,g,g
222.16,4,r,r,g,r,r,y,r,r,r,y,y,y
226.16,3,r,r,g,r,r,r,r,r,r,r,r,r
229.16,75,r,g,g,r,r,r,r,g,g,r,r,r
304.16,4,r,y,g,r,r,r,r,y,y,r,r,r
308.16,3,r,r,g,r,r,r,r,r,r,r,r,r
311.16,15,g,r,g,r,r,r,g,r,r,r,r,r
326.16,4,y,r,y,r,r,r,y,r,r,r,r,r
330.16,3,r,r,r,r,r,r,r,r,r,r,r,r
333.16,31,r,r,r,g,g,g,r,r,r,r,r,r
364.16,4,r,r,r,y,y,g,r,r,r,r,r,r
368.16,3,r,r,r,r,r,g,r,r,r,r,r,r
371.16,31,r,r,g,r,r,g,r,r,r,g,g,g
402.16,4,r,r,g,r,r,y,r,r,r,y,y,y
406.16,3,r,r,g,r,r,r,r,r,r,r,r,r
409.16,75,r,g,g,r,r,r,r,g,g,r,r,r
484.16,4,r,y,g,r,r,r,r,y,y,r,r,r
488.16,3,r,r,g,r,r,r,r,r,r,r,r,r
491.16,15,g,r,g,r,r,r,g,r,r,r,r,r
506.16,4,y,r,y,r,r,r,y,r,r,r,r,r
510.16,3,r,r,r,r,r,r,r,r,r,r,r,r
513.16,31,r,r,r,g,g,g,r,r,r,r,r,r
544.16,4,r,r,r,y,y,g,r,r,r,r,r,r
548.16,3,r,r,r,r,r,g,r,r,r,r,r,r
551.16,31,r,r,g,r,r,g,r,r,r,g,g,g
582.16,4,r,r,g,r,r,y,r,r,r,y,y,y
586.16,3,r,r,g,r,r,r,r,r,r,r,r,r
589.16,75,r,g,g,r,r,r,r,g,g,r,r,r
664.16,4,r,y,g,r,r,r,r,y,y,r,r,r
668.16,3,r,r,g,r,r,r,r,r,r,r,r,r
671.16,15,g,r,g,r,r,r,g,r,r,r,r,r
686.16,4,y,r,y,r,r,r,y,r,r,r,r,r
690.16,3,r,r,r,r,r,r,r,r,r,r,r,r
693.16,31,r,r,r,g,g,g,r,r,r,r,r,r
724.16,4,r,r,r,y,y,g,r,r,r,r,r,r
728.16,3,r,r,r,r,r,g,r,r,r,r,r,r
731.16,31,r,r,g,r,r,g,r,r,r,g,g,g
762.16,4,r,r,g,r,r,y,r,r,r,y,y,y
766.16,3,r,r,g,r,r,r,r,r,r,r,r,r
769.16,75,r,g,g,r,r,r,r,g,g,r,r,r
844.16,4,r,y,g,r,r,r,r,y,y,r,r,r
848.16,3,r,r,g,r,r,r,r,r,r,r,r,r
851.16,15,g,r,g,r,r,r,g,r,r,r,r,r
866.16,4,y,r,y,r,r,r,y,r,r,r,r,r
870.16,3,r,r,r,r,r,r,r,r,r,r,r,r
873.16,26.84,r,r,r,g,g,g,r,r,r,r,r,r
