Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,3.35,r,y,y,r,r,r,r,y,y,r,r,r
3.35,3,r,r,r,r,r,r,r,r,r,r,r,r
6.35,15,g,r,g,r,r,r,g,r,r,r,r,r
21.35,4,y,r,y,r,r,r,y,r,r,r,r,r
25.35,3,r,r,r,r,r,r,r,r,r,r,r,r
28.35,31,r,r,r,g,g,g,r,r,r,r,r,r
59.35,4,r,r,r,y,y,g,r,r,r,r,r,r
63.35,3,r,r,r,r,r,g,r,r,r,r,r,r
66.35,31,r,r,g,r,r,g,r,r,r,g,g,g
97.35,4,r,r,g,r,r,y,r,r,r,y,y,y
101.35,3,r,r,g,r,r,r,r,r,r,r,r,r
104.35,75,r,g,g,r,r,r,r,g,g,r,r,r
179.35,4,r,y,g,r,r,r,r,y,y,r,r,r
183.35,3,r,r,g,r,r,r,r,r,r,r,r,r
186.35,15,g,r,g,r,r,r,g,r,r,r,r,r
201.35,4,y,r,y,r,r,r,y,r,r,r,r,r
205.35,3,r,r,r,r,r,r,r,r,r,r,r,r
208.35,31,r,r,r,g,g,g,r,r,r,r,r,r
239.35,4,r,r,r,y,y,g,r,r,r,r,r,r
243.35,3,r,r,r,r,r,g,r,r,r,r,r,r
246.35,31,r,r,g,r,r,g,r,r,r,g,g,g
277.35,4,r,r,g,r,r,y,r,r,r,y,y,y
281.35,3,r,r,g,r,r,r,r,r,r,r,r,r
284.35,75,r,g,g,r,r,r,r,g,g,r,r,r
359.35,4,r,y,g,r,r,r,r,y,y,r,r,r
363.35,3,r,r,g,r,r,r,r,r,r,r,r,r
366.35,15,g,r,g,r,r,r,g,r,r,r,r,r
381.35,4,y,r,y,r,r,r,y,r,r,r,r,r
385.35,3,r,r,r,r,r,r,r,r,r,r,r,r
388.35,31,r,r,r,g,g,g,r,r,r,r,r,r
419.35,4,r,r,r,y,y,g,r,r,r,r,r,r
423.35,3,r,r,r,r,r,g,r,r,r,r,r,r
426.35,31,r,r,g,r,r,g,r,r,r,g,g,g
457.35,4,r,r,g,r,r,y,r,r,r,y,y,y
461.35,3,r,r,g,r,r,r,r,r,r,r,r,r
464.35,75,r,g,g,r,r,r,r,g,g,r,r,r
539.35,4,r,y,g,r,r,r,r,y,y,r,r,r
543.35,3,r,r,g,r,r,r,r,r,r,r,r,r
546.35,15,g,r,g,r,r,r,g,r,r,r,r,r
561.35,4,y,r,y,r,r,r,y,r,r,r,r,r
565.35,3,r,r,r,r,r,r,r,r,r,r,r,r
568.35,31,r,r,r,g,g,g,r,r,r,r,r,r
599.35,4,r,r,r,y,y,g,r,r,r,r,r,r
603.35,3,r,r,r,r,r,g,r,r,r,r,r,r
606.35,31,r,r,g,r,r,g,r,r,r,g,g,g
637.35,4,r,r,g,r,r,y,r,r,r,y,y,y
641.35,3,r,r,g,r,r,r,r,r,r,r,r,r
644.35,75,r,g,g,r,r,r,r,g,g,r,r,r
719.35,4,r,y,g,r,r,r,r,y,y,r,r,r
723.35,3,r,r,g,r,r,r,r,r,r,r,r,r
726.35,15,g,r,g,r,r,r,g,r,r,r,r,r
741.35,4,y,r,y,r,r,r,y,r,r,r,r,r
745.35,3,r,r,r,r,r,r,r,r,r,r,r,r
748.35,31,r,r,r,g,g,g,r,r,r,r,r,r
779.35,4,r,r,r,y,y,g,r,r,r,r,r,r
783.35,3,r,r,r,r,r,g,r,r,r,r,r,r
786.35,31,r,r,g,r,r,g,r,r,r,g,g,g
817.35,4,r,r,g,r,r,y,r,r,r,y,y,y
821.35,3,r,r,g,r,r,r,r,r,r,r,r,r
824.35,75,r,g,g,r,r,r,r,g,g,r,r,r
899.35,4,r,y,g,r,r,r,r,y,y,r,r,r
903.35,3,r,r,g,r,r,r,r,r,r,r,r,r
906.35,15,g,r,g,r,r,r,g,r,r,r,r,r
921.35,4,y,r,y,r,r,r,y,r,r,r,r,r
925.35,3,r,r,r,r,r,r,r,r,r,r,r,r
928.35,31,r,r,r,g,g,g,r,r,r,r,r,r
959.35,4,r,r,r,y,y,g,r,r,r,r,r,r
963.35,3,r,r,r,r,r,g,r,r,r,r,r,r
966.35,31,r,r,g,r,r,g,r,r,r,g,g,g
997.35,4,r,r,g,r,r,y,r,r,r,y,y,y
1001.35,3,r,r,g,r,r,r,r,r,r,r,r,r
1004.35,75,r,g,g,r,r,r,r,g,g,r,r,r
1079.35,4,r,y,g,r,r,r,r,y,y,r,r,r
1083.35,3,r,r,g,r,r,r,r,r,r,r,r,r
1086.35,15,g,r,g,r,r,r,g,r,r,r,r,r
1101.35,4,y,r,y,r,r,r,y,r,r,r,r,r
1105.35,3,r,r,r,r,r,r,r,r,r,r,r,r
1108.35,31,r,r,r,g,g,g,r,r,r,r,r,r
1139.35,4,r,r,r,y,y,g,r,r,r,r,r,r
1143.35,3,r,r,r,r,r,g,r,r,r,r,r,r
1146.35,14.65,r,r,g,r,r,g,r,r,r,g,g,g
