Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,26,r,g,g,r,r,r,r,g,g,r,r,r
26,4,r,y,g,r,r,r,r,y,y,r,r,r
30,3,r,r,g,r,r,r,r,r,r,r,r,r
33,15,g,r,g,r,r,r,g,r,r,r,r,r
48,4,y,r,y,r,r,r,y,r,r,r,r,r
52,3,r,r,r,r,r,r,r,r,r,r,r,r
55,31,r,r,r,g,g,g,r,r,r,r,r,r
86,4,r,r,r,y,y,g,r,r,r,r,r,r
90,3,r,r,r,r,r,g,r,r,r,r,r,r
93,31,r,r,g,r,r,g,r,r,r,g,g,g
124,4,r,r,g,r,r,y,r,r,r,y,y,y
128,3,r,r,g,r,r,r,r,r,r,r,r,r
131,75,r,g,g,r,r,r,r,g,g,r,r,r
206,4,r,y,g,r,r,r,r,y,y,r,r,r
210,3,r,r,g,r,r,r,r,r,r,r,r,r
213,15,g,r,g,r,r,r,g,r,r,r,r,r
228,4,y,r,y,r,r,r,y,r,r,r,r,r
232,3,r,r,r,r,r,r,r,r,r,r,r,r
235,31,r,r,r,g,g,g,r,r,r,r,r,r
266,4,r,r,r,y,y,g,r,r,r,r,r,r
270,3,r,r,r,r,r,g,r,r,r,r,r,r
273,31,r,r,g,r,r,g,r,r,r,g,g,g
304,4,r,r,g,r,r,y,r,r,r,y,y,y
308,3,r,r,g,r,r,r,r,r,r,r,r,r
311,75,r,g,g,r,r,r,r,g,g,r,r,r
386,4,r,y,g,r,r,r,r,y,y,r,r,r
390,3,r,r,g,r,r,r,r,r,r,r,r,r
393,15,g,r,g,r,r,r,g,r,r,r,r,r
408,4,y,r,y,r,r,r,y,r,r,r,r,r
412,3,r,r,r,r,r,r,r,r,r,r,r,r
415,31,r,r,r,g,g,g,r,r,r,r,r,r
446,4,r,r,r,y,y,g,r,r,r,r,r,r
450,3,r,r,r,r,r,g,r,r,r,r,r,r
453,31,r,r,g,r,r,g,r,r,r,g,g,g
484,4,r,r,g,r,r,y,r,r,r,y,y,y
488,3,r,r,g,r,r,r,r,r,r,r,r,r
491,75,r,g,g,r,r,r,r,g,g,r,r,r
566,4,r,y,g,r,r,r,r,y,y,r,r,r
570,3,r,r,g,r,r,r,r,r,r,r,r,r
573,15,g,r,g,r,r,r,g,r,r,r,r,r
588,4,y,r,y,r,r,r,y,r,r,r,r,r
592,3,r,r,r,r,r,r,r,r,r,r,r,r
595,31,r,r,r,g,g,g,r,r,r,r,r,r
626,4,r,r,r,y,y,g,r,r,r,r,r,r
630,3,r,r,r,r,r,g,r,r,r,r,r,r
633,31,r,r,g,r,r,g,r,r,r,g,g,g
664,4,r,r,g,r,r,y,r,r,r,y,y,y
668,3,r,r,g,r,r,r,r,r,r,r,r,r
671,75,r,g,g,r,r,r,r,g,g,r,r,r
746,4,r,y,g,r,r,r,r,y,y,r,r,r
750,3,r,r,g,r,r,r,r,r,r,r,r,r
753,15,g,r,g,r,r,r,g,r,r,r,r,r
768,4,y,r,y,r,r,r,y,r,r,r,r,r
772,3,r,r,r,r,r,r,r,r,r,r,r,r
775,31,r,r,r,g,g,g,r,r,r,r,r,r
806,4,r,r,r,y,y,g,r,r,r,r,r,r
810,3,r,r,r,r,r,g,r,r,r,r,r,r
813,31,r,r,g,r,r,g,r,r,r,g,g,g
844,4,r,r,g,r,r,y,r,r,r,y,y,y
848,3,r,r,g,r,r,r,r,r,r,r,r,r
851,75,r,g,g,r,r,r,r,g,g,r,r,r
926,4,r,y,g,r,r,r,r,y,y,r,r,r
930,3,r,r,g,r,r,r,r,r,r,r,r,r
933,15,g,r,g,r,r,r,g,r,r,r,r,r
948,4,y,r,y,r,r,r,y,r,r,r,r,r
952,3,r,r,r,r,r,r,r,r,r,r,r,r
955,31,r,r,r,g,g,g,r,r,r,r,r,r
986,4,r,r,r,y,y,g,r,r,r,r,r,r
990,3,r,r,r,r,r,g,r,r,r,r,r,r
993,31,r,r,g,r,r,g,r,r,r,g,g,g
1024,4,r,r,g,r,r,y,r,r,r,y,y,y
1028,3,r,r,g,r,r,r,r,r,r,r,r,r
1031,75,r,g,g,r,r,r,r,g,g,r,r,r
1106,4,r,y,g,r,r,r,r,y,y,r,r,r
1110,3,r,r,g,r,r,r,r,r,r,r,r,r
1113,15,g,r,g,r,r,r,g,r,r,r,r,r
1128,4,y,r,y,r,r,r,y,r,r,r,r,r
1132,3,r,r,r,r,r,r,r,r,r,r,r,r
1135,31,r,r,r,g,g,g,r,r,r,r,r,r
1166,4,r,r,r,y,y,g,r,r,r,r,r,r
1170,3,r,r,r,r,r,g,r,r,r,r,r,r
1173,31,r,r,g,r,r,g,r,r,r,g,g,g
1204,4,r,r,g,r,r,y,r,r,r,y,y,y
1208,3,r,r,g,r,r,r,r,r,r,r,r,r
1211,75,r,g,g,r,r,r,r,g,g,r,r,r
1286,4,r,y,g,r,r,r,r,y,y,r,r,r
1290,3,r,r,g,r,r,r,r,r,r,r,r,r
1293,15,g,r,g,r,r,r,g,r,r,r,r,r
1308,4,y,r,y,r,r,r,y,r,r,r,r,r
1312,3,r,r,r,r,r,r,r,r,r,r,r,r
1315,31,r,r,r,g,g,g,r,r,r,r,r,r
1346,4,r,r,r,y,y,g,r,r,r,r,r,r
1350,3,r,r,r,r,r,g,r,r,r,r,r,r
1353,11,r,r,g,r,r,g,r,r,r,g,g,g
