Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,49.96,g,g,g,r,r,r,g,g,g,r,r,r
49.96,3,y,y,y,r,r,r,y,y,y,r,r,r
52.96,2,r,r,r,r,r,r,r,r,r,r,r,r
54.96,45,r,r,r,g,g,g,r,r,r,g,g,g
99.96,3,r,r,r,y,y,y,r,r,r,y,y,y
102.96,2,r,r,r,r,r,r,r,r,r,r,r,r
104.96,65,g,g,g,r,r,r,g,g,g,r,r,r
169.96,3,y,y,y,r,r,r,y,y,y,r,r,r
172.96,2,r,r,r,r,r,r,r,r,r,r,r,r
174.96,45,r,r,r,g,g,g,r,r,r,g,g,g
219.96,3,r,r,r,y,y,y,r,r,r,y,y,y
222.96,2,r,r,r,r,r,r,r,r,r,r,r,r
224.96,65,g,g,g,r,r,r,g,g,g,r,r,r
289.96,3,y,y,y,r,r,r,y,y,y,r,r,r
292.96,2,r,r,r,r,r,r,r,r,r,r,r,r
294.96,45,r,r,r,g,g,g,r,r,r,g,g,g
339.96,3,r,r,r,y,y,y,r,r,r,y,y,y
342.96,2,r,r,r,r,r,r,r,r,r,r,r,r
344.96,65,g,g,g,r,r,r,g,g,g,r,r,r
409.96,3,y,y,y,r,r,r,y,y,y,r,r,r
412.96,2,r,r,r,r,r,r,r,r,r,r,r,r
414.96,45,r,r,r,g,g,g,r,r,r,g,g,g
459.96,3,r,r,r,y,y,y,r,r,r,y,y,y
462.96,2,r,r,r,r,r,r,r,r,r,r,r,r
464.96,65,g,g,g,r,r,r,g,g,g,r,r,r
529.96,3,y,y,y,r,r,r,y,y,y,r,r,r
532.96,2,r,r,r,r,r,r,r,r,r,r,r,r
534.96,45,r,r,r,g,g,g,r,r,r,g,g,g
579.96,3,r,r,r,y,y,y,r,r,r,y,y,y
582.96,2,r,r,r,r,r,r,r,r,r,r,r,r
584.96,65,g,g,g,r,r,r,g,g,g,r,r,r
649.96,3,y,y,y,r,r,r,y,y,y,r,r,r
652.96,2,r,r,r,r,r,r,r,r,r,r,r,r
654.96,45,r,r,r,g,g,g,r,r,r,g,g,g
699.96,3,r,r,r,y,y,y,r,r,r,y,y,y
702.96,2,r,r,r,r,r,r,r,r,r,r,r,r
704.96,65,g,g,g,r,r,r,g,g,g,r,r,r
769.96,3,y,y,y,r,r,r,y,y,y,r,r,r
772.96,2,r,r,r,r,r,r,r,r,r,r,r,r
774.96,45,r,r,r,g,g,g,r,r,r,g,g,g
819.96,3,r,r,r,y,y,y,r,r,r,y,y,y
822.96,2,r,r,r,r,r,r,r,r,r,r,r,r
824.96,6.04,g,g,g,r,r,r,g,g,g,r,r,r
