Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,9.28,g,g,g,r,r,r,g,g,g,r,r,r
9.28,3,y,y,y,r,r,r,y,y,y,r,r,r
12.28,2,r,r,r,r,r,r,r,r,r,r,r,r
14.28,45,r,r,r,g,g,g,r,r,r,g,g,g
59.28,3,r,r,r,y,y,y,r,r,r,y,y,y
62.28,2,r,r,r,r,r,r,r,r,r,r,r,r
64.28,65,g,g,g,r,r,r,g,g,g,r,r,r
129.28,3,y,y,y,r,r,r,y,y,y,r,r,r
132.28,2,r,r,r,r,r,r,r,r,r,r,r,r
134.28,45,r,r,r,g,g,g,r,r,r,g,g,g
179.28,3,r,r,r,y,y,y,r,r,r,y,y,y
182.28,2,r,r,r,r,r,r,r,r,r,r,r,r
184.28,65,g,g,g,r,r,r,g,g,g,r,r,r
249.28,3,y,y,y,r,r,r,y,y,y,r,r,r
252.28,2,r,r,r,r,r,r,r,r,r,r,r,r
254.28,45,r,r,r,g,g,g,r,r,r,g,g,g
299.28,3,r,r,r,y,y,y,r,r,r,y,y,y
302.28,2,r,r,r,r,r,r,r,r,r,r,r,r
304.28,65,g,g,g,r,r,r,g,g,g,r,r,r
369.28,3,y,y,y,r,r,r,y,y,y,r,r,r
372.28,2,r,r,r,r,r,r,r,r,r,r,r,r
374.28,45,r,r,r,g,g,g,r,r,r,g,g,g
419.28,3,r,r,r,y,y,y,r,r,r,y,y,y
422.28,2,r,r,r,r,r,r,r,r,r,r,r,r
424.28,65,g,g,g,r,r,r,g,g,g,r,r,r
489.28,3,y,y,y,r,r,r,y,y,y,r,r,r
492.28,2,r,r,r,r,r,r,r,r,r,r,r,r
494.28,45,r,r,r,g,g,g,r,r,r,g,g,g
539.28,3,r,r,r,y,y,y,r,r,r,y,y,y
542.28,2,r,r,r,r,r,r,r,r,r,r,r,r
544.28,65,g,g,g,r,r,r,g,g,g,r,r,r
609.28,3,y,y,y,r,r,r,y,y,y,r,r,r
612.28,2,r,r,r,r,r,r,r,r,r,r,r,r
614.28,45,r,r,r,g,g,g,r,r,r,g,g,g
659.28,3,r,r,r,y,y,y,r,r,r,y,y,y
662.28,2,r,r,r,r,r,r,r,r,r,r,r,r
664.28,54.72,g,g,g,r,r,r,g,g,g,r,r,r
