Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,40,r,r,r,g,g,g,r,r,r,g,g,g
40,3,r,r,r,y,y,y,r,r,r,y,y,y
43,2,r,r,r,r,r,r,r,r,r,r,r,r
45,65,g,g,g,r,r,r,g,g,g,r,r,r
110,3,y,y,y,r,r,r,y,y,y,r,r,r
113,2,r,r,r,r,r,r,r,r,r,r,r,r
115,45,r,r,r,g,g,g,r,r,r,g,g,g
160,3,r,r,r,y,y,y,r,r,r,y,y,y
163,2,r,r,r,r,r,r,r,r,r,r,r,r
165,65,g,g,g,r,r,r,g,g,g,r,r,r
230,3,y,y,y,r,r,r,y,y,y,r,r,r
233,2,r,r,r,r,r,r,r,r,r,r,r,r
235,45,r,r,r,g,g,g,r,r,r,g,g,g
280,3,r,r,r,y,y,y,r,r,r,y,y,y
283,2,r,r,r,r,r,r,r,r,r,r,r,r
285,65,g,g,g,r,r,r,g,g,g,r,r,r
350,3,y,y,y,r,r,r,y,y,y,r,r,r
353,2,r,r,r,r,r,r,r,r,r,r,r,r
355,45,r,r,r,g,g,g,r,r,r,g,g,g
400,3,r,r,r,y,y,y,r,r,r,y,y,y
403,2,r,r,r,r,r,r,r,r,r,r,r,r
405,65,g,g,g,r,r,r,g,g,g,r,r,r
470,3,y,y,y,r,r,r,y,y,y,r,r,r
473,2,r,r,r,r,r,r,r,r,r,r,r,r
475,45,r,r,r,g,g,g,r,r,r,g,g,g
520,3,r,r,r,y,y,y,r,r,r,y,y,y
523,2,r,r,r,r,r,r,r,r,r,r,r,r
525,65,g,g,g,r,r,r,g,g,g,r,r,r
590,3,y,y,y,r,r,r,y,y,y,r,r,r
593,2,r,r,r,r,r,r,r,r,r,r,r,r
595,45,r,r,r,g,g,g,r,r,r,g,g,g
640,3,r,r,r,y,y,y,r,r,r,y,y,y
643,2,r,r,r,r,r,r,r,r,r,r,r,r
645,65,g,g,g,r,r,r,g,g,g,r,r,r
710,3,y,y,y,r,r,r,y,y,y,r,r,r
713,2,r,r,r,r,r,r,r,r,r,r,r,r
715,45,r,r,r,g,g,g,r,r,r,g,g,g
760,3,r,r,r,y,y,y,r,r,r,y,y,y
763,2,r,r,r,r,r,r,r,r,r,r,r,r
765,61,g,g,g,r,r,r,g,g,g,r,r,r
