Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0.00,112.50,g,g,g,r,r,r,g,g,g,r,r,r
112.50,3.00,y,y,y,r,r,r,y,y,y,r,r,r
115.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
117.50,5.00,r,r,r,r,r,r,r,r,r,r,r,r
122.50,45.00,r,r,r,g,g,g,r,r,r,g,g,g
167.50,3.00,r,r,r,y,y,y,r,r,r,y,y,y
170.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
172.50,120.00,g,g,g,r,r,r,g,g,g,r,r,r
292.50,3.00,y,y,y,r,r,r,y,y,y,r,r,r
295.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
297.50,5.00,r,r,r,r,r,r,r,r,r,r,r,r
302.50,45.00,r,r,r,g,g,g,r,r,r,g,g,g
347.50,3.00,r,r,r,y,y,y,r,r,r,y,y,y
350.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
352.50,120.00,g,g,g,r,r,r,g,g,g,r,r,r
472.50,3.00,y,y,y,r,r,r,y,y,y,r,r,r
475.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
477.50,5.00,r,r,r,r,r,r,r,r,r,r,r,r
482.50,45.00,r,r,r,g,g,g,r,r,r,g,g,g
527.50,3.00,r,r,r,y,y,y,r,r,r,y,y,y
530.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
532.50,120.00,g,g,g,r,r,r,g,g,g,r,r,r
652.50,3.00,y,y,y,r,r,r,y,y,y,r,r,r
655.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
657.50,5.00,r,r,r,r,r,r,r,r,r,r,r,r
662.50,45.00,r,r,r,g,g,g,r,r,r,g,g,g
707.50,3.00,r,r,r,y,y,y,r,r,r,y,y,y
710.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
712.50,120.00,g,g,g,r,r,r,g,g,g,r,r,r
832.50,3.00,y,y,y,r,r,r,y,y,y,r,r,r
835.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
837.50,5.00,r,r,r,r,r,r,r,r,r,r,r,r
842.50,45.00,r,r,r,g,g,g,r,r,r,g,g,g
887.50,3.00,r,r,r,y,y,y,r,r,r,y,y,y
890.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
892.50,120.00,g,g,g,r,r,r,g,g,g,r,r,r
1012.50,3.00,y,y,y,r,r,r,y,y,y,r,r,r
1015.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1017.50,5.00,r,r,r,r,r,r,r,r,r,r,r,r
1022.50,45.00,r,r,r,g,g,g,r,r,r,g,g,g
1067.50,3.00,r,r,r,y,y,y,r,r,r,y,y,y
1070.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1072.50,120.00,g,g,g,r,r,r,g,g,g,r,r,r
1192.50,3.00,y,y,y,r,r,r,y,y,y,r,r,r
1195.50,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1197.50,1.50,r,r,r,r,r,r,r,r,r,r,r,r
