Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0.00,8.97,g,g,g,r,r,r,g,g,g,r,r,r
8.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
11.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
13.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
18.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
63.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
66.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
68.97,120.00,g,g,g,r,r,r,g,g,g,r,r,r
188.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
191.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
193.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
198.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
243.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
246.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
248.97,120.00,g,g,g,r,r,r,g,g,g,r,r,r
368.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
371.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
373.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
378.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
423.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
426.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
428.97,120.00,g,g,g,r,r,r,g,g,g,r,r,r
548.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
551.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
553.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
558.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
603.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
606.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
608.97,120.00,g,g,g,r,r,r,g,g,g,r,r,r
728.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
731.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
733.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
738.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
783.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
786.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
788.97,120.00,g,g,g,r,r,r,g,g,g,r,r,r
908.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
911.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
913.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
918.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
963.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
966.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
968.97,120.00,g,g,g,r,r,r,g,g,g,r,r,r
1088.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
1091.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1093.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
1098.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
1143.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
1146.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1148.97,120.00,g,g,g,r,r,r,g,g,g,r,r,r
1268.97,3.00,y,y,y,r,r,r,y,y,y,r,r,r
1271.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1273.97,5.00,r,r,r,r,r,r,r,r,r,r,r,r
1278.97,45.00,r,r,r,g,g,g,r,r,r,g,g,g
1323.97,3.00,r,r,r,y,y,y,r,r,r,y,y,y
1326.97,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1328.97,28.03,g,g,g,r,r,r,g,g,g,r,r,r
