Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0.00,51.03,g,g,g,r,r,r,g,g,g,r,r,r
51.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
54.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
56.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
61.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
106.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
109.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
111.03,120.00,g,g,g,r,r,r,g,g,g,r,r,r
231.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
234.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
236.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
241.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
286.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
289.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
291.03,120.00,g,g,g,r,r,r,g,g,g,r,r,r
411.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
414.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
416.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
421.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
466.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
469.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
471.03,120.00,g,g,g,r,r,r,g,g,g,r,r,r
591.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
594.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
596.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
601.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
646.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
649.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
651.03,120.00,g,g,g,r,r,r,g,g,g,r,r,r
771.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
774.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
776.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
781.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
826.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
829.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
831.03,120.00,g,g,g,r,r,r,g,g,g,r,r,r
951.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
954.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
956.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
961.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
1006.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
1009.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1011.03,120.00,g,g,g,r,r,r,g,g,g,r,r,r
1131.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
1134.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1136.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
1141.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
1186.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
1189.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1191.03,120.00,g,g,g,r,r,r,g,g,g,r,r,r
1311.03,3.00,y,y,y,r,r,r,y,y,y,r,r,r
1314.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1316.03,5.00,r,r,r,r,r,r,r,r,r,r,r,r
1321.03,45.00,r,r,r,g,g,g,r,r,r,g,g,g
1366.03,3.00,r,r,r,y,y,y,r,r,r,y,y,y
1369.03,2.00,r,r,r,r,r,r,r,r,r,r,r,r
1371.03,40.97,g,g,g,r,r,r,g,g,g,r,r,r
