Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0.00,10.84,r,r,r,g,g,g,r,r,r,r,r,r
10.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
61.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
64.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
68.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
111.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
114.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
118.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
130.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
181.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
184.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
188.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
231.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
234.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
238.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
250.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
301.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
304.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
308.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
351.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
354.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
358.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
370.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
421.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
424.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
428.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
471.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
474.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
478.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
490.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
541.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
544.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
548.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
591.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
594.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
598.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
610.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
661.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
664.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
668.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
711.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
714.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
718.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
730.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
781.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
784.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
788.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
831.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
834.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
838.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
850.84,51.00,r,r,r,g,g,g,r,r,r,g,g,g
901.84,3.00,r,r,r,y,y,y,r,r,r,y,y,y
904.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
908.84,43.00,g,g,g,r,r,r,g,g,g,r,r,r
951.84,3.00,y,y,y,r,r,r,y,y,y,r,r,r
954.84,4.00,r,r,r,r,r,r,r,r,r,r,r,r
958.84,12.00,r,r,r,g,g,g,r,r,r,r,r,r
970.84,9.16,r,r,r,g,g,g,r,r,r,g,g,g
