Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0.00,21.06,r,r,r,g,g,g,r,r,r,g,g,g
21.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
24.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
28.06,43.00,g,g,g,r,r,r,g,g,g,r,r,r
71.06,3.00,y,y,y,r,r,r,y,y,y,r,r,r
74.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
78.06,12.00,r,r,r,g,g,g,r,r,r,r,r,r
90.06,51.00,r,r,r,g,g,g,r,r,r,g,g,g
141.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
144.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
148.06,43.00,g,g,g,r,r,r,g,g,g,r,r,r
191.06,3.00,y,y,y,r,r,r,y,y,y,r,r,r
194.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
198.06,12.00,r,r,r,g,g,g,r,r,r,r,r,r
210.06,51.00,r,r,r,g,g,g,r,r,r,g,g,g
261.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
264.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
268.06,43.00,g,g,g,r,r,r,g,g,g,r,r,r
311.06,3.00,y,y,y,r,r,r,y,y,y,r,r,r
314.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
318.06,12.00,r,r,r,g,g,g,r,r,r,r,r,r
330.06,51.00,r,r,r,g,g,g,r,r,r,g,g,g
381.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
384.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
388.06,43.00,g,g,g,r,r,r,g,g,g,r,r,r
431.06,3.00,y,y,y,r,r,r,y,y,y,r,r,r
434.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
438.06,12.00,r,r,r,g,g,g,r,r,r,r,r,r
450.06,51.00,r,r,r,g,g,g,r,r,r,g,g,g
501.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
504.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
508.06,43.00,g,g,g,r,r,r,g,g,g,r,r,r
551.06,3.00,y,y,y,r,r,r,y,y,y,r,r,r
554.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
558.06,12.00,r,r,r,g,g,g,r,r,r,r,r,r
570.06,51.00,r,r,r,g,g,g,r,r,r,g,g,g
621.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
624.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
628.06,43.00,g,g,g,r,r,r,g,g,g,r,r,r
671.06,3.00,y,y,y,r,r,r,y,y,y,r,r,r
674.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
678.06,12.00,r,r,r,g,g,g,r,r,r,r,r,r
690.06,51.00,r,r,r,g,g,g,r,r,r,g,g,g
741.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
744.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
748.06,43.00,g,g,g,r,r,r,g,g,g,r,r,r
791.06,3.00,y,y,y,r,r,r,y,y,y,r,r,r
794.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
798.06,12.00,r,r,r,g,g,g,r,r,r,r,r,r
810.06,51.00,r,r,r,g,g,g,r,r,r,g,g,g
861.06,3.00,r,r,r,y,y,y,r,r,r,y,y,y
864.06,4.00,r,r,r,r,r,r,r,r,r,r,r,r
868.06,35.94,g,g,g,r,r,r,g,g,g,r,r,r
