Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,53.71,r,r,r,r,g,g,r,r,r,r,g,g
53.71,3,r,r,r,r,g,g,r,r,r,r,y,y
56.71,2,r,r,r,r,g,g,r,r,r,r,r,r
58.71,25,r,r,r,g,g,g,r,r,r,r,r,r
83.71,3,r,r,r,y,y,y,r,r,r,r,r,r
86.71,2,r,r,r,r,r,r,r,r,r,r,r,r
88.71,43,g,g,g,r,r,r,g,g,g,r,r,r
131.71,3,y,y,y,r,r,r,y,y,y,r,r,r
134.71,4,r,r,r,r,r,r,r,r,r,r,r,r
138.71,15,r,r,r,r,r,r,r,r,r,g,g,g
153.71,3,r,r,r,r,r,r,r,r,r,y,g,g
156.71,2,r,r,r,r,r,r,r,r,r,r,g,g
158.71,75,r,r,r,r,g,g,r,r,r,r,g,g
233.71,3,r,r,r,r,g,g,r,r,r,r,y,y
236.71,2,r,r,r,r,g,g,r,r,r,r,r,r
238.71,25,r,r,r,g,g,g,r,r,r,r,r,r
263.71,3,r,r,r,y,y,y,r,r,r,r,r,r
266.71,2,r,r,r,r,r,r,r,r,r,r,r,r
268.71,43,g,g,g,r,r,r,g,g,g,r,r,r
311.71,3,y,y,y,r,r,r,y,y,y,r,r,r
314.71,4,r,r,r,r,r,r,r,r,r,r,r,r
318.71,15,r,r,r,r,r,r,r,r,r,g,g,g
333.71,3,r,r,r,r,r,r,r,r,r,y,g,g
336.71,2,r,r,r,r,r,r,r,r,r,r,g,g
338.71,75,r,r,r,r,g,g,r,r,r,r,g,g
413.71,3,r,r,r,r,g,g,r,r,r,r,y,y
416.71,2,r,r,r,r,g,g,r,r,r,r,r,r
418.71,25,r,r,r,g,g,g,r,r,r,r,r,r
443.71,3,r,r,r,y,y,y,r,r,r,r,r,r
446.71,2,r,r,r,r,r,r,r,r,r,r,r,r
448.71,43,g,g,g,r,r,r,g,g,g,r,r,r
491.71,3,y,y,y,r,r,r,y,y,y,r,r,r
494.71,4,r,r,r,r,r,r,r,r,r,r,r,r
498.71,15,r,r,r,r,r,r,r,r,r,g,g,g
513.71,3,r,r,r,r,r,r,r,r,r,y,g,g
516.71,2,r,r,r,r,r,r,r,r,r,r,g,g
518.71,75,r,r,r,r,g,g,r,r,r,r,g,g
593.71,3,r,r,r,r,g,g,r,r,r,r,y,y
596.71,2,r,r,r,r,g,g,r,r,r,r,r,r
598.71,25,r,r,r,g,g,g,r,r,r,r,r,r
623.71,3,r,r,r,y,y,y,r,r,r,r,r,r
626.71,2,r,r,r,r,r,r,r,r,r,r,r,r
628.71,43,g,g,g,r,r,r,g,g,g,r,r,r
671.71,3,y,y,y,r,r,r,y,y,y,r,r,r
674.71,4,r,r,r,r,r,r,r,r,r,r,r,r
678.71,15,r,r,r,r,r,r,r,r,r,g,g,g
693.71,3,r,r,r,r,r,r,r,r,r,y,g,g
696.71,2,r,r,r,r,r,r,r,r,r,r,g,g
698.71,75,r,r,r,r,g,g,r,r,r,r,g,g
773.71,3,r,r,r,r,g,g,r,r,r,r,y,y
776.71,2,r,r,r,r,g,g,r,r,r,r,r,r
778.71,25,r,r,r,g,g,g,r,r,r,r,r,r
803.71,3,r,r,r,y,y,y,r,r,r,r,r,r
806.71,2,r,r,r,r,r,r,r,r,r,r,r,r
808.71,43,g,g,g,r,r,r,g,g,g,r,r,r
851.71,3,y,y,y,r,r,r,y,y,y,r,r,r
854.71,4,r,r,r,r,r,r,r,r,r,r,r,r
858.71,15,r,r,r,r,r,r,r,r,r,g,g,g
873.71,3,r,r,r,r,r,r,r,r,r,y,g,g
876.71,2,r,r,r,r,r,r,r,r,r,r,g,g
878.71,75,r,r,r,r,g,g,r,r,r,r,g,g
953.71,3,r,r,r,r,g,g,r,r,r,r,y,y
956.71,2,r,r,r,r,g,g,r,r,r,r,r,r
958.71,25,r,r,r,g,g,g,r,r,r,r,r,r
983.71,3,r,r,r,y,y,y,r,r,r,r,r,r
986.71,2,r,r,r,r,r,r,r,r,r,r,r,r
988.71,43,g,g,g,r,r,r,g,g,g,r,r,r
1031.71,3,y,y,y,r,r,r,y,y,y,r,r,r
1034.71,4,r,r,r,r,r,r,r,r,r,r,r,r
1038.71,15,r,r,r,r,r,r,r,r,r,g,g,g
1053.71,3,r,r,r,r,r,r,r,r,r,y,g,g
1056.71,2,r,r,r,r,r,r,r,r,r,r,g,g
1058.71,75,r,r,r,r,g,g,r,r,r,r,g,g
1133.71,3,r,r,r,r,g,g,r,r,r,r,y,y
1136.71,2,r,r,r,r,g,g,r,r,r,r,r,r
1138.71,25,r,r,r,g,g,g,r,r,r,r,r,r
1163.71,3,r,r,r,y,y,y,r,r,r,r,r,r
1166.71,2,r,r,r,r,r,r,r,r,r,r,r,r
1168.71,43,g,g,g,r,r,r,g,g,g,r,r,r
1211.71,3,y,y,y,r,r,r,y,y,y,r,r,r
1214.71,4,r,r,r,r,r,r,r,r,r,r,r,r
1218.71,11.29,r,r,r,r,r,r,r,r,r,g,g,g
