Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,58.71,r,r,r,r,g,g,r,r,r,r,g,g
58.71,3,r,r,r,r,g,g,r,r,r,r,y,y
61.71,2,r,r,r,r,g,g,r,r,r,r,r,r
63.71,25,r,r,r,g,g,g,r,r,g,r,r,r
88.71,3,r,r,r,y,y,y,r,r,g,r,r,r
91.71,2,r,r,r,r,r,r,r,r,g,r,r,r
93.71,43,g,g,g,r,r,r,g,g,g,r,r,r
136.71,3,y,y,y,r,r,r,y,y,y,r,r,r
139.71,4,r,r,r,r,r,r,r,r,r,r,r,r
143.71,15,r,r,r,r,r,r,r,r,r,g,g,g
158.71,3,r,r,r,r,r,r,r,r,r,y,g,g
161.71,2,r,r,r,r,r,r,r,r,r,r,g,g
163.71,75,r,r,r,r,g,g,r,r,r,r,g,g
238.71,3,r,r,r,r,g,g,r,r,r,r,y,y
241.71,2,r,r,r,r,g,g,r,r,r,r,r,r
243.71,25,r,r,r,g,g,g,r,r,g,r,r,r
268.71,3,r,r,r,y,y,y,r,r,g,r,r,r
271.71,2,r,r,r,r,r,r,r,r,g,r,r,r
273.71,43,g,g,g,r,r,r,g,g,g,r,r,r
316.71,3,y,y,y,r,r,r,y,y,y,r,r,r
319.71,4,r,r,r,r,r,r,r,r,r,r,r,r
323.71,15,r,r,r,r,r,r,r,r,r,g,g,g
338.71,3,r,r,r,r,r,r,r,r,r,y,g,g
341.71,2,r,r,r,r,r,r,r,r,r,r,g,g
343.71,75,r,r,r,r,g,g,r,r,r,r,g,g
418.71,3,r,r,r,r,g,g,r,r,r,r,y,y
421.71,2,r,r,r,r,g,g,r,r,r,r,r,r
423.71,25,r,r,r,g,g,g,r,r,g,r,r,r
448.71,3,r,r,r,y,y,y,r,r,g,r,r,r
451.71,2,r,r,r,r,r,r,r,r,g,r,r,r
453.71,43,g,g,g,r,r,r,g,g,g,r,r,r
496.71,3,y,y,y,r,r,r,y,y,y,r,r,r
499.71,4,r,r,r,r,r,r,r,r,r,r,r,r
503.71,15,r,r,r,r,r,r,r,r,r,g,g,g
518.71,3,r,r,r,r,r,r,r,r,r,y,g,g
521.71,2,r,r,r,r,r,r,r,r,r,r,g,g
523.71,75,r,r,r,r,g,g,r,r,r,r,g,g
598.71,3,r,r,r,r,g,g,r,r,r,r,y,y
601.71,2,r,r,r,r,g,g,r,r,r,r,r,r
603.71,25,r,r,r,g,g,g,r,r,g,r,r,r
628.71,3,r,r,r,y,y,y,r,r,g,r,r,r
631.71,2,r,r,r,r,r,r,r,r,g,r,r,r
633.71,43,g,g,g,r,r,r,g,g,g,r,r,r
676.71,3,y,y,y,r,r,r,y,y,y,r,r,r
679.71,4,r,r,r,r,r,r,r,r,r,r,r,r
683.71,15,r,r,r,r,r,r,r,r,r,g,g,g
698.71,3,r,r,r,r,r,r,r,r,r,y,g,g
701.71,2,r,r,r,r,r,r,r,r,r,r,g,g
703.71,75,r,r,r,r,g,g,r,r,r,r,g,g
778.71,3,r,r,r,r,g,g,r,r,r,r,y,y
781.71,2,r,r,r,r,g,g,r,r,r,r,r,r
783.71,25,r,r,r,g,g,g,r,r,g,r,r,r
808.71,3,r,r,r,y,y,y,r,r,g,r,r,r
811.71,2,r,r,r,r,r,r,r,r,g,r,r,r
813.71,43,g,g,g,r,r,r,g,g,g,r,r,r
856.71,3,y,y,y,r,r,r,y,y,y,r,r,r
859.71,4,r,r,r,r,r,r,r,r,r,r,r,r
863.71,15,r,r,r,r,r,r,r,r,r,g,g,g
878.71,3,r,r,r,r,r,r,r,r,r,y,g,g
881.71,2,r,r,r,r,r,r,r,r,r,r,g,g
883.71,75,r,r,r,r,g,g,r,r,r,r,g,g
958.71,3,r,r,r,r,g,g,r,r,r,r,y,y
961.71,2,r,r,r,r,g,g,r,r,r,r,r,r
963.71,25,r,r,r,g,g,g,r,r,g,r,r,r
988.71,3,r,r,r,y,y,y,r,r,g,r,r,r
991.71,2,r,r,r,r,r,r,r,r,g,r,r,r
993.71,43,g,g,g,r,r,r,g,g,g,r,r,r
1036.71,3,y,y,y,r,r,r,y,y,y,r,r,r
1039.71,4,r,r,r,r,r,r,r,r,r,r,r,r
1043.71,15,r,r,r,r,r,r,r,r,r,g,g,g
1058.71,3,r,r,r,r,r,r,r,r,r,y,g,g
1061.71,2,r,r,r,r,r,r,r,r,r,r,g,g
1063.71,75,r,r,r,r,g,g,r,r,r,r,g,g
1138.71,3,r,r,r,r,g,g,r,r,r,r,y,y
1141.71,2,r,r,r,r,g,g,r,r,r,r,r,r
1143.71,25,r,r,r,g,g,g,r,r,g,r,r,r
1168.71,3,r,r,r,y,y,y,r,r,g,r,r,r
1171.71,2,r,r,r,r,r,r,r,r,g,r,r,r
1173.71,6.29,g,g,g,r,r,r,g,g,g,r,r,r
