Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,0.4,g,g,g,r,r,r,g,g,g,r,r,r
0.4,3,y,y,y,r,r,r,y,y,y,r,r,r
3.4,4,r,r,r,r,r,r,r,r,r,r,r,r
7.4,15,r,r,r,r,r,r,r,r,r,g,g,g
22.4,3,r,r,r,r,r,r,r,r,r,y,g,g
25.4,2,r,r,r,r,r,r,r,r,r,r,g,g
27.4,75,r,r,r,r,g,g,r,r,r,r,g,g
102.4,3,r,r,r,r,g,g,r,r,r,r,y,y
105.4,2,r,r,r,r,g,g,r,r,r,r,r,r
107.4,25,r,r,r,g,g,g,r,r,r,r,r,r
132.4,3,r,r,r,y,y,y,r,r,r,r,r,r
135.4,2,r,r,r,r,r,r,r,r,r,r,r,r
137.4,43,g,g,g,r,r,r,g,g,g,r,r,r
180.4,3,y,y,y,r,r,r,y,y,y,r,r,r
183.4,4,r,r,r,r,r,r,r,r,r,r,r,r
187.4,15,r,r,r,r,r,r,r,r,r,g,g,g
202.4,3,r,r,r,r,r,r,r,r,r,y,g,g
205.4,2,r,r,r,r,r,r,r,r,r,r,g,g
207.4,75,r,r,r,r,g,g,r,r,r,r,g,g
282.4,3,r,r,r,r,g,g,r,r,r,r,y,y
285.4,2,r,r,r,r,g,g,r,r,r,r,r,r
287.4,25,r,r,r,g,g,g,r,r,r,r,r,r
312.4,3,r,r,r,y,y,y,r,r,r,r,r,r
315.4,2,r,r,r,r,r,r,r,r,r,r,r,r
317.4,43,g,g,g,r,r,r,g,g,g,r,r,r
360.4,3,y,y,y,r,r,r,y,y,y,r,r,r
363.4,4,r,r,r,r,r,r,r,r,r,r,r,r
367.4,15,r,r,r,r,r,r,r,r,r,g,g,g
382.4,3,r,r,r,r,r,r,r,r,r,y,g,g
385.4,2,r,r,r,r,r,r,r,r,r,r,g,g
387.4,75,r,r,r,r,g,g,r,r,r,r,g,g
462.4,3,r,r,r,r,g,g,r,r,r,r,y,y
465.4,2,r,r,r,r,g,g,r,r,r,r,r,r
467.4,25,r,r,r,g,g,g,r,r,r,r,r,r
492.4,3,r,r,r,y,y,y,r,r,r,r,r,r
495.4,2,r,r,r,r,r,r,r,r,r,r,r,r
497.4,43,g,g,g,r,r,r,g,g,g,r,r,r
540.4,3,y,y,y,r,r,r,y,y,y,r,r,r
543.4,4,r,r,r,r,r,r,r,r,r,r,r,r
547.4,15,r,r,r,r,r,r,r,r,r,g,g,g
562.4,3,r,r,r,r,r,r,r,r,r,y,g,g
565.4,2,r,r,r,r,r,r,r,r,r,r,g,g
567.4,75,r,r,r,r,g,g,r,r,r,r,g,g
642.4,3,r,r,r,r,g,g,r,r,r,r,y,y
645.4,2,r,r,r,r,g,g,r,r,r,r,r,r
647.4,25,r,r,r,g,g,g,r,r,r,r,r,r
672.4,3,r,r,r,y,y,y,r,r,r,r,r,r
675.4,2,r,r,r,r,r,r,r,r,r,r,r,r
677.4,43,g,g,g,r,r,r,g,g,g,r,r,r
720.4,3,y,y,y,r,r,r,y,y,y,r,r,r
723.4,4,r,r,r,r,r,r,r,r,r,r,r,r
727.4,15,r,r,r,r,r,r,r,r,r,g,g,g
742.4,3,r,r,r,r,r,r,r,r,r,y,g,g
745.4,2,r,r,r,r,r,r,r,r,r,r,g,g
747.4,75,r,r,r,r,g,g,r,r,r,r,g,g
822.4,3,r,r,r,r,g,g,r,r,r,r,y,y
825.4,2,r,r,r,r,g,g,r,r,r,r,r,r
827.4,25,r,r,r,g,g,g,r,r,r,r,r,r
852.4,3,r,r,r,y,y,y,r,r,r,r,r,r
855.4,2,r,r,r,r,r,r,r,r,r,r,r,r
857.4,43,g,g,g,r,r,r,g,g,g,r,r,r
900.4,3,y,y,y,r,r,r,y,y,y,r,r,r
903.4,4,r,r,r,r,r,r,r,r,r,r,r,r
