Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
362.59,35,g,g,g,r,r,r,g,g,g,r,r,r
397.59,3,y,y,y,r,r,r,y,y,y,r,r,r
400.59,2,r,r,r,r,r,r,r,r,r,r,r,r
402.59,10,r,r,r,r,r,r,r,r,r,g,g,g
412.59,3,r,r,r,r,r,r,r,r,r,y,g,g
415.59,2,r,r,r,r,r,r,r,r,r,r,g,g
417.59,40,r,r,r,r,g,g,r,r,r,r,g,g
457.59,3,r,r,r,r,g,g,r,r,r,r,y,y
460.59,2,r,r,r,r,g,g,r,r,r,r,r,r
462.59,15,r,r,r,g,g,g,r,r,g,r,r,r
477.59,3,r,r,r,y,y,y,r,r,g,r,r,r
480.59,2,r,r,r,r,r,r,r,r,g,r,r,r
482.59,35,g,g,g,r,r,r,g,g,g,r,r,r
517.59,3,y,y,y,r,r,r,y,y,y,r,r,r
520.59,2,r,r,r,r,r,r,r,r,r,r,r,r
522.59,10,r,r,r,r,r,r,r,r,r,g,g,g
532.59,3,r,r,r,r,r,r,r,r,r,y,g,g
535.59,2,r,r,r,r,r,r,r,r,r,r,g,g
537.59,40,r,r,r,r,g,g,r,r,r,r,g,g
577.59,3,r,r,r,r,g,g,r,r,r,r,y,y
580.59,2,r,r,r,r,g,g,r,r,r,r,r,r
582.59,15,r,r,r,g,g,g,r,r,g,r,r,r
597.59,3,r,r,r,y,y,y,r,r,g,r,r,r
600.59,2,r,r,r,r,r,r,r,r,g,r,r,r
602.59,35,g,g,g,r,r,r,g,g,g,r,r,r
637.59,3,y,y,y,r,r,r,y,y,y,r,r,r
640.59,2,r,r,r,r,r,r,r,r,r,r,r,r
642.59,10,r,r,r,r,r,r,r,r,r,g,g,g
652.59,3,r,r,r,r,r,r,r,r,r,y,g,g
655.59,2,r,r,r,r,r,r,r,r,r,r,g,g
657.59,40,r,r,r,r,g,g,r,r,r,r,g,g
697.59,3,r,r,r,r,g,g,r,r,r,r,y,y
700.59,2,r,r,r,r,g,g,r,r,r,r,r,r
702.59,15,r,r,r,g,g,g,r,r,g,r,r,r
717.59,3,r,r,r,y,y,y,r,r,g,r,r,r
720.59,2,r,r,r,r,r,r,r,r,g,r,r,r
722.59,35,g,g,g,r,r,r,g,g,g,r,r,r
757.59,3,y,y,y,r,r,r,y,y,y,r,r,r
760.59,2,r,r,r,r,r,r,r,r,r,r,r,r
762.59,10,r,r,r,r,r,r,r,r,r,g,g,g
772.59,3,r,r,r,r,r,r,r,r,r,y,g,g
775.59,2,r,r,r,r,r,r,r,r,r,r,g,g
777.59,40,r,r,r,r,g,g,r,r,r,r,g,g
817.59,3,r,r,r,r,g,g,r,r,r,r,y,y
820.59,2,r,r,r,r,g,g,r,r,r,r,r,r
822.59,15,r,r,r,g,g,g,r,r,g,r,r,r
837.59,3,r,r,r,y,y,y,r,r,g,r,r,r
840.59,2,r,r,r,r,r,r,r,r,g,r,r,r
842.59,35,g,g,g,r,r,r,g,g,g,r,r,r
877.59,3,y,y,y,r,r,r,y,y,y,r,r,r
880.59,2,r,r,r,r,r,r,r,r,r,r,r,r
882.59,10,r,r,r,r,r,r,r,r,r,g,g,g
892.59,3,r,r,r,r,r,r,r,r,r,y,g,g
895.59,2,r,r,r,r,r,r,r,r,r,r,g,g
897.59,40,r,r,r,r,g,g,r,r,r,r,g,g
937.59,3,r,r,r,r,g,g,r,r,r,r,y,y
940.59,2,r,r,r,r,g,g,r,r,r,r,r,r
942.59,15,r,r,r,g,g,g,r,r,g,r,r,r
957.59,3,r,r,r,y,y,y,r,r,g,r,r,r
960.59,2,r,r,r,r,r,r,r,r,g,r,r,r
962.59,35,g,g,g,r,r,r,g,g,g,r,r,r
997.59,3,y,y,y,r,r,r,y,y,y,r,r,r
1000.59,2,r,r,r,r,r,r,r,r,r,r,r,r
1002.59,10,r,r,r,r,r,r,r,r,r,g,g,g
1012.59,3,r,r,r,r,r,r,r,r,r,y,g,g
1015.59,2,r,r,r,r,r,r,r,r,r,r,g,g
1017.59,40,r,r,r,r,g,g,r,r,r,r,g,g
1057.59,3,r,r,r,r,g,g,r,r,r,r,y,y
1060.59,2,r,r,r,r,g,g,r,r,r,r,r,r
1062.59,15,r,r,r,g,g,g,r,r,g,r,r,r
1077.59,3,r,r,r,y,y,y,r,r,g,r,r,r
1080.59,2,r,r,r,r,r,r,r,r,g,r,r,r
1082.59,35,g,g,g,r,r,r,g,g,g,r,r,r
1117.59,3,y,y,y,r,r,r,y,y,y,r,r,r
1120.59,2,r,r,r,r,r,r,r,r,r,r,r,r
1122.59,10,r,r,r,r,r,r,r,r,r,g,g,g
1132.59,3,r,r,r,r,r,r,r,r,r,y,g,g
1135.59,2,r,r,r,r,r,r,r,r,r,r,g,g
1137.59,40,r,r,r,r,g,g,r,r,r,r,g,g
1177.59,3,r,r,r,r,g,g,r,r,r,r,y,y
1180.59,2,r,r,r,r,g,g,r,r,r,r,r,r
1182.59,3.41,r,r,r,g,g,g,r,r,g,r,r,r
