Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0,2.59,r,r,r,r,r,r,r,r,g,r,r,r
2.59,35,g,g,g,r,r,r,g,g,g,r,r,r
37.59,3,y,y,y,r,r,r,y,y,y,r,r,r
40.59,2,r,r,r,r,r,r,r,r,r,r,r,r
42.59,10,r,r,r,r,r,r,r,r,r,g,g,g
52.59,3,r,r,r,r,r,r,r,r,r,y,g,g
55.59,2,r,r,r,r,r,r,r,r,r,r,g,g
57.59,40,r,r,r,r,g,g,r,r,r,r,g,g
97.59,3,r,r,r,r,g,g,r,r,r,r,y,y
100.59,2,r,r,r,r,g,g,r,r,r,r,r,r
102.59,15,r,r,r,g,g,g,r,r,g,r,r,r
117.59,3,r,r,r,y,y,y,r,r,g,r,r,r
120.59,2,r,r,r,r,r,r,r,r,g,r,r,r
122.59,35,g,g,g,r,r,r,g,g,g,r,r,r
157.59,3,y,y,y,r,r,r,y,y,y,r,r,r
160.59,2,r,r,r,r,r,r,r,r,r,r,r,r
162.59,10,r,r,r,r,r,r,r,r,r,g,g,g
172.59,3,r,r,r,r,r,r,r,r,r,y,g,g
175.59,2,r,r,r,r,r,r,r,r,r,r,g,g
177.59,40,r,r,r,r,g,g,r,r,r,r,g,g
217.59,3,r,r,r,r,g,g,r,r,r,r,y,y
220.59,2,r,r,r,r,g,g,r,r,r,r,r,r
222.59,15,r,r,r,g,g,g,r,r,g,r,r,r
237.59,3,r,r,r,y,y,y,r,r,g,r,r,r
240.59,2,r,r,r,r,r,r,r,r,g,r,r,r
242.59,35,g,g,g,r,r,r,g,g,g,r,r,r
277.59,3,y,y,y,r,r,r,y,y,y,r,r,r
280.59,2,r,r,r,r,r,r,r,r,r,r,r,r
282.59,10,r,r,r,r,r,r,r,r,r,g,g,g
292.59,3,r,r,r,r,r,r,r,r,r,y,g,g
295.59,2,r,r,r,r,r,r,r,r,r,r,g,g
297.59,40,r,r,r,r,g,g,r,r,r,r,g,g
337.59,3,r,r,r,r,g,g,r,r,r,r,y,y
340.59,2,r,r,r,r,g,g,r,r,r,r,r,r
342.59,15,r,r,r,g,g,g,r,r,g,r,r,r
357.59,3,r,r,r,y,y,y,r,r,g,r,r,r
360.59,2,r,r,r,r,r,r,r,r,g,r,r,r
